,name,year,event,score,event_score,skater_score,avg,baseline,baseline_event,predicted,residual
1743,"Shoma, UNO",2017,US,279.34,0.9827563418606902,1.105956575598013,283.7425,262.64223001202095,258.1133171847477,285.46212038988733,6.122120389887357
1744,"Jason, BROWN",2017,US,268.38,0.9827563418606902,0.9537469150463759,244.23333333333335,262.64223001202095,258.1133171847477,246.17477999733984,-22.205220002660155
1745,"Adam, RIPPON",2017,US,261.43,0.9827563418606902,1.0,254.02,262.64223001202095,258.1133171847477,258.1133171847477,-3.3166828152523067
1746,"Sergei, VORONOV",2017,US,245.28,0.9827563418606902,0.9477855518544686,244.51999999999998,262.64223001202095,258.1133171847477,244.6360727689336,-0.6439272310664137
1747,"Boyang, JIN",2017,US,245.08,0.9827563418606902,1.0146637977711426,263.71,262.64223001202095,258.1133171847477,261.89823866998364,16.81823866998363
1748,"Nam, NGUYEN",2017,US,239.26,0.9827563418606902,0.898440618773609,229.59,262.64223001202095,258.1133171847477,231.89948840517354,-7.360511594826448
1749,"Maxim, KOVTUN",2017,US,230.75,0.9827563418606902,0.9114070676850566,239.66,262.64223001202095,258.1133171847477,235.24630154581385,4.49630154581385
1750,"Timothy, DOLENSKY",2017,US,226.53,0.9827563418606902,0.8776377851045655,226.53,262.64223001202095,258.1133171847477,226.53000000001416,1.4154011296341196e-11
1751,"Jorik, HENDRICKX",2017,US,224.91,0.9827563418606902,0.8913764161297003,232.64666666666668,262.64223001202095,258.1133171847477,230.07612362748898,5.166123627488986
1752,"Brendan, KERRY",2017,US,211.76,0.9827563418606902,0.822835689733039,212.85,262.64223001202095,258.1133171847477,212.38484937499453,0.6248493749945396
1753,"Patrick, CHAN",2017,CA,266.95,0.9494903395407158,1.0620090872241692,270.35,262.64223001202095,249.37626015184455,264.8398544192374,-2.1101455807626053
1754,"Yuzuru, HANYU",2017,CA,263.06,0.9494903395407158,1.1542280565776164,290.53499999999997,262.64223001202095,249.37626015184455,287.8370761116576,24.777076111657607
1755,"Kevin, REYNOLDS",2017,CA,245.06,0.9494903395407158,0.9120231905242308,233.685,262.64223001202095,249.37626015184455,227.43693242468586,-17.62306757531414
1756,"Michal, BREZINA",2017,CA,227.42,0.9494903395407158,0.8418532354980549,218.23666666666668,262.64223001202095,249.37626015184455,209.93821146523499,-17.481788534765002
1757,"Daniel, SAMOHIN",2017,CA,226.53,0.9494903395407158,0.8672562128117549,220.01999999999998,262.64223001202095,249.37626015184455,216.27311094444764,-10.256889055552364
1758,"Misha, GE",2017,CA,226.07,0.9494903395407158,0.9063506138654078,231.51333333333332,262.64223001202095,249.37626015184455,226.02232647208396,-0.0476735279160323
1759,"Alexander, PETROV",2017,CA,224.39,0.9494903395407158,0.8928186877130647,226.415,262.64223001202095,249.37626015184455,222.64778533556168,-1.7422146644383076
1760,"Takahito, MURA",2017,CA,222.13,0.9494903395407158,0.9329455054749987,235.27499999999998,262.64223001202095,249.37626015184455,232.6544610808274,10.524461080827393
1761,"Liam, FIRUS",2017,CA,210.89,0.9494903395407158,0.8456699120901751,210.89,262.64223001202095,249.37626015184455,210.889999999987,-1.2988721209694631e-11
1762,"Han, YAN",2017,CA,209.11,0.9494903395407158,0.8754851059857395,224.91666666666666,262.64223001202095,249.37626015184455,218.32520154936498,9.215201549364963
1763,"Grant, HOCHSTEIN",2017,CA,204.69,0.9494903395407158,0.831685612167601,210.60333333333335,262.64223001202095,249.37626015184455,207.40264758445375,2.712647584453748
1764,"Ross, MINER",2017,CA,196.53,0.9494903395407158,0.8074692999244174,204.935,262.64223001202095,249.37626015184455,201.36367420257932,4.833674202579317
1765,"Javier, FERNANDEZ",2017,FR,285.38,0.9679692379227938,1.1081033695557903,285.4925,262.64223001202095,254.22959923107902,281.7126755487768,-3.6673244512231804
1766,"Denis, TEN",2017,FR,269.26,0.9679692379227938,1.0591213643666164,269.26,262.64223001202095,254.22959923107902,269.2599999999985,-1.4779288903810084e-12
1767,"Adam, RIPPON",2017,FR,267.53,0.9679692379227938,1.0,254.02,262.64223001202095,254.22959923107902,254.22959923107902,-13.300400768920952
1768,"Nathan, CHEN",2017,FR,264.8,0.9679692379227938,1.1109049749726874,281.005,262.64223001202095,254.22959923107902,282.4249265711182,17.62492657111818
1769,"Takahito, MURA",2017,FR,248.42,0.9679692379227938,0.9329455054749987,235.27499999999998,262.64223001202095,254.22959923107902,237.18236196134535,-11.237638038654637
1770,"Jorik, HENDRICKX",2017,FR,230.47,0.9679692379227938,0.8913764161297003,232.64666666666668,262.64223001202095,254.22959923107902,226.61426903668922,-3.8557309633107764
1771,"Misha, GE",2017,FR,229.06,0.9679692379227938,0.9063506138654078,231.51333333333332,262.64223001202095,254.22959923107902,230.4211533258451,1.3611533258450947
1772,"Chafik, BESSEGHIER",2017,FR,225.02,0.9679692379227938,0.8655719997609064,225.53,262.64223001202095,254.22959923107902,220.05402260485886,-4.965977395141152
1773,"Artur, DMITRIEV",2017,FR,218.7,0.9679692379227938,0.8608056269516242,220.11,262.64223001202095,254.22959923107902,218.84226955576915,0.14226955576916112
1774,"Brendan, KERRY",2017,FR,199.4,0.9679692379227938,0.822835689733039,212.85,262.64223001202095,254.22959923107902,209.18918763385898,9.789187633858973
1775,"Ivan, RIGHINI",2017,FR,185.81,0.9679692379227938,0.753485637432174,197.98000000000002,262.64223001202095,254.22959923107902,191.5583516307557,5.748351630755707
1776,"Javier, FERNANDEZ",2017,RU,292.98,0.9791762278385229,1.1081033695557903,285.4925,262.64223001202095,257.17302805426834,284.9742989458005,-8.005701054199506
1777,"Shoma, UNO",2017,RU,285.07,0.9791762278385229,1.105956575598013,283.7425,262.64223001202095,257.17302805426834,284.4222014430703,-0.647798556929672
1778,"Alexei, BYCHENKO",2017,RU,255.52,0.9791762278385229,0.9375299131854263,241.54333333333332,262.64223001202095,257.17302805426834,241.10740666535142,-14.41259333464859
1779,"Mikhail, KOLYADA",2017,RU,245.3,0.9791762278385229,0.9330228679764966,240.39000000000001,262.64223001202095,257.17302805426834,239.94831620139345,-5.351683798606558
1780,"Max, AARON",2017,RU,235.58,0.9791762278385229,0.9286031959870866,239.16000000000003,262.64223001202095,257.17302805426834,238.81169577287028,3.2316957728702675
1781,"Elladj, BALDE",2017,RU,225.45,0.9791762278385229,0.8358279455830101,210.385,262.64223001202095,257.17302805426834,214.95240369796093,-10.497596302039057
1782,"Keiji, TANAKA",2017,RU,224.91,0.9791762278385229,0.9057885059323908,231.17666666666665,262.64223001202095,257.17302805426834,232.94437284738456,8.03437284738456
1783,"Chafik, BESSEGHIER",2017,RU,223.98,0.9791762278385229,0.8655719997609064,225.53,262.64223001202095,257.17302805426834,222.60177217750072,-1.3782278224992695
1784,"Gordei, GORSHKOV",2017,RU,223.51,0.9791762278385229,0.8691035824831417,223.51,262.64223001202095,257.17302805426834,223.51000000000212,2.1316282072803006e-12
1785,"Artur, DMITRIEV",2017,RU,221.52,0.9791762278385229,0.8608056269516242,220.11,262.64223001202095,257.17302805426834,221.3759896493021,-0.14401035069789714
1786,"Deniss, VASILJEVS",2017,RU,203.77,0.9791762278385229,0.8567196584731019,220.9,262.64223001202095,257.17302805426834,220.32518876314623,16.55518876314622
1787,"Alexander, MAJOROV",2017,RU,192.14,0.9791762278385229,0.7758777614218544,205.06,262.64223001202095,257.17302805426834,199.53483330482547,7.394833304825482
1788,"Patrick, CHAN",2017,CN,279.72,0.9818144990721255,1.0620090872241692,270.35,262.64223001202095,257.8659494944383,273.8559816487822,-5.864018351217851
1789,"Boyang, JIN",2017,CN,278.54,0.9818144990721255,1.0146637977711426,263.71,262.64223001202095,257.8659494944383,261.6472436298884,-16.892756370111613
1790,"Sergei, VORONOV",2017,CN,243.76,0.9818144990721255,0.9477855518544686,244.51999999999998,262.64223001202095,257.8659494944383,244.40162124606275,0.6416212460627548
1791,"Max, AARON",2017,CN,242.74,0.9818144990721255,0.9286031959870866,239.16000000000003,262.64223001202095,257.8659494944383,239.4551448367801,-3.284855163219902
1792,"Han, YAN",2017,CN,230.19,0.9818144990721255,0.8754851059857395,224.91666666666666,262.64223001202095,257.8659494944383,225.7577981232517,-4.432201876748309
1793,"Alexander, PETROV",2017,CN,228.44,0.9818144990721255,0.8928186877130647,226.415,262.64223001202095,257.8659494944383,230.22753863350786,1.7875386335078645
1794,"Maxim, KOVTUN",2017,CN,221.43,0.9818144990721255,0.9114070676850566,239.66,262.64223001202095,257.8659494944383,235.02084888454894,13.590848884548933
1795,"Daniel, SAMOHIN",2017,CN,213.51,0.9818144990721255,0.8672562128117549,220.01999999999998,262.64223001202095,257.8659494944383,223.63584677165386,10.125846771653869
1796,"Ross, MINER",2017,CN,213.34,0.9818144990721255,0.8074692999244174,204.935,262.64223001202095,257.8659494944383,208.2188377126193,-5.121162287380713
1797,"Michal, BREZINA",2017,CN,211.77,0.9818144990721255,0.8418532354980549,218.23666666666668,262.64223001202095,257.8659494944383,217.08528390667092,5.315283906670913
1798,"Yuzuru, HANYU",2017,JP,301.47,0.9331967219625269,1.1542280565776164,290.53499999999997,262.64223001202095,245.09686809614595,282.8976817358749,-18.5723182641251
1799,"Nathan, CHEN",2017,JP,268.91,0.9331967219625269,1.1109049749726874,281.005,262.64223001202095,245.09686809614595,272.2793301182331,3.3693301182330515
1800,"Keiji, TANAKA",2017,JP,248.44,0.9331967219625269,0.9057885059323908,231.17666666666665,262.64223001202095,245.09686809614595,222.0059259615163,-26.434074038483686
1801,"Alexei, BYCHENKO",2017,JP,229.87,0.9331967219625269,0.9375299131854263,241.54333333333332,262.64223001202095,245.09686809614595,229.78564546819962,-0.08435453180038621
1802,"Mikhail, KOLYADA",2017,JP,225.69,0.9331967219625269,0.9330228679764966,240.39000000000001,262.64223001202095,245.09686809614595,228.6809828031232,2.990982803123188
1803,"Deniss, VASILJEVS",2017,JP,223.73,0.9331967219625269,0.8567196584731019,220.9,262.64223001202095,245.09686809614595,209.97930512815708,-13.75069487184291
1804,"Jason, BROWN",2017,JP,218.47,0.9331967219625269,0.9537469150463759,244.23333333333335,262.64223001202095,245.09686809614595,233.7603818342277,15.290381834227702
1805,"Nam, NGUYEN",2017,JP,212.43,0.9331967219625269,0.898440618773609,229.59,262.64223001202095,245.09686809614595,220.204981831775,7.774981831774994
1806,"Ryuju, HINO",2017,JP,207.15,0.9331967219625269,0.8451760383928759,207.15,262.64223001202095,245.09686809614595,207.1500000000019,1.9042545318370685e-12
1807,"Elladj, BALDE",2017,JP,195.32,0.9331967219625269,0.8358279455830101,210.385,262.64223001202095,245.09686809614595,204.8588117296317,9.538811729631703
1808,"Grant, HOCHSTEIN",2017,JP,191.4,0.9331967219625269,0.831685612167601,210.60333333333335,262.64223001202095,245.09686809614595,203.8435387829049,12.44353878290488
1809,"Yuzuru, HANYU",2017,FN,293.9,0.9459520085554551,1.1542280565776164,290.53499999999997,262.64223001202095,248.44694501135504,286.7644345031023,-7.135565496897698
1810,"Nathan, CHEN",2017,FN,282.85,0.9459520085554551,1.1109049749726874,281.005,262.64223001202095,248.44694501135504,276.00094722988,-6.849052770120011
1811,"Shoma, UNO",2017,FN,282.51,0.9459520085554551,1.105956575598013,283.7425,262.64223001202095,248.44694501135504,274.77153252254607,-7.7384674774539235
1812,"Javier, FERNANDEZ",2017,FN,268.77,0.9459520085554551,1.1081033695557903,285.4925,262.64223001202095,248.44694501135504,275.3048969229246,6.534896922924645
1813,"Patrick, CHAN",2017,FN,266.75,0.9459520085554551,1.0620090872241692,270.35,262.64223001202095,248.44694501135504,263.8529132951425,-2.897086704857486
1814,"Adam, RIPPON",2017,FN,233.1,0.9459520085554551,1.0,254.02,262.64223001202095,248.44694501135504,248.44694501135504,15.346945011355047
1815,"Javier, FERNANDEZ",2017,EU,294.84,1.0300489192769768,1.1081033695557903,285.4925,262.64223001202095,270.53434518037733,299.7800194749454,4.940019474945416
1816,"Maxim, KOVTUN",2017,EU,266.8,1.0300489192769768,0.9114070676850566,239.66,262.64223001202095,270.53434518037733,246.56691424894464,-20.23308575105537
1817,"Mikhail, KOLYADA",2017,EU,250.18,1.0300489192769768,0.9330228679764966,240.39000000000001,262.64223001202095,270.53434518037733,252.41473062633915,2.234730626339143
1818,"Jorik, HENDRICKX",2017,EU,242.56,1.0300489192769768,0.8913764161297003,232.64666666666668,262.64223001202095,270.53434518037733,241.14793504688,-1.4120649531199945
1819,"Alexei, BYCHENKO",2017,EU,239.24,1.0300489192769768,0.9375299131854263,241.54333333333332,262.64223001202095,270.53434518037733,253.6340411506353,14.394041150635303
1820,"Moris, KVITELASHVILI",2017,EU,238.2,1.0300489192769768,0.8804797033854103,238.2,262.64223001202095,270.53434518037733,238.1999999999848,-1.517719283583574e-11
1821,"Deniss, VASILJEVS",2017,EU,235.2,1.0300489192769768,0.8567196584731019,220.9,262.64223001202095,270.53434518037733,231.77209180817715,-3.427908191822837
1822,"Alexander, SAMARIN",2017,EU,230.87,1.0300489192769768,0.8533851768287051,230.87,262.64223001202095,270.53434518037733,230.86999999999423,-5.7696070143720135e-12
1823,"Chafik, BESSEGHIER",2017,EU,227.59,1.0300489192769768,0.8655719997609064,225.53,262.64223001202095,270.53434518037733,234.16695416178652,6.576954161786517
1824,"Paul, FENTZ",2017,EU,225.85,1.0300489192769768,0.8348293073451183,225.85,262.64223001202095,270.53434518037733,225.84999999999954,-4.547473508864641e-13
1825,"Alexander, MAJOROV",2017,EU,217.98,1.0300489192769768,0.7758777614218544,205.06,262.64223001202095,270.53434518037733,209.9015821262784,-8.078417873721577
1826,"Michal, BREZINA",2017,EU,215.52,1.0300489192769768,0.8418532354980549,218.23666666666668,262.64223001202095,270.53434518037733,227.75021380344828,12.230213803448265
1827,"Ivan, RIGHINI",2017,EU,210.15,1.0300489192769768,0.753485637432174,197.98000000000002,262.64223001202095,270.53434518037733,203.8437435255324,-6.306256474467602
1828,"Ivan, PAVLOV",2017,EU,202.87,1.0300489192769768,0.7498863032150479,202.87,262.64223001202095,270.53434518037733,202.87000000001686,1.6854073692229576e-11
1829,"Kevin, AYMOZ",2017,EU,199.47,1.0300489192769768,0.7373185828476233,199.47,262.64223001202095,270.53434518037733,199.47000000000557,5.5706550483591855e-12
1830,"Graham, NEWBERRY",2017,EU,198.06,1.0300489192769768,0.7321066752835135,198.06,262.64223001202095,270.53434518037733,198.06000000000844,8.44124770082999e-12
1831,"Stephane, WALKER",2017,EU,196.74,1.0300489192769768,0.7272274426702303,196.74,262.64223001202095,270.53434518037733,196.73999999999114,-8.86757334228605e-12
1832,"Javier, RAYA",2017,EU,195.54,1.0300489192769768,0.7227917766581983,195.54,262.64223001202095,270.53434518037733,195.5399999999872,-1.2789769243681803e-11
1833,"Maurizio, ZANDRON",2017,EU,186.4,1.0300489192769768,0.6890067872000369,186.4,262.64223001202095,270.53434518037733,186.3999999999976,-2.4158453015843406e-12
1834,"Jiri, BELOHRADSKY",2017,EU,181.62,1.0300489192769768,0.6713380509188427,181.62,262.64223001202095,270.53434518037733,181.61999999999992,-8.526512829121202e-14
1835,"Slavik, HAYRAPETYAN",2017,EU,180.78,1.0300489192769768,0.6682330847104654,180.78,262.64223001202095,270.53434518037733,180.78000000000938,9.379164112033322e-12
1836,"Daniel Albert, NAURITS",2017,EU,176.1,1.0300489192769768,0.6509339872636055,176.1,262.64223001202095,270.53434518037733,176.1000000000116,1.1596057447604835e-11
1837,"Valtter, VIRTANEN",2017,EU,164.09,1.0300489192769768,0.6065403632599639,164.09,262.64223001202095,270.53434518037733,164.0900000000025,2.5011104298755527e-12
1838,"Sondre, ODDVOLL BOE",2017,EU,162.85,1.0300489192769768,0.601956841714196,162.85,262.64223001202095,270.53434518037733,162.84999999999803,-1.9610979506978765e-12
1839,"Nathan, CHEN",2017,4C,307.46,1.0,1.1109049749726874,281.005,262.64223001202095,262.64223001202095,291.77055995827493,-15.68944004172505
1840,"Yuzuru, HANYU",2017,4C,303.71,1.0,1.1542280565776164,290.53499999999997,262.64223001202095,262.64223001202095,303.14903072198626,-0.5609692780137152
1841,"Shoma, UNO",2017,4C,288.05,1.0,1.105956575598013,283.7425,262.64223001202095,262.64223001202095,290.4709013115204,2.4209013115203675
1842,"Patrick, CHAN",2017,4C,267.98,1.0,1.0620090872241692,270.35,262.64223001202095,262.64223001202095,278.9284349615867,10.948434961586656
1843,"Boyang, JIN",2017,4C,267.51,1.0,1.0146637977711426,263.71,262.64223001202095,262.64223001202095,266.4935625590791,-1.0164374409208676
1844,"Jason, BROWN",2017,4C,245.85,1.0,0.9537469150463759,244.23333333333335,262.64223001202095,262.64223001202095,250.49421663486567,4.644216634865671
1845,"Misha, GE",2017,4C,239.41,1.0,0.9063506138654078,231.51333333333332,262.64223001202095,262.64223001202095,238.0459463983748,-1.3640536016251872
1846,"Nam, NGUYEN",2017,4C,237.08,1.0,0.898440618773609,229.59,262.64223001202095,262.64223001202095,235.96844764808066,-1.1115523519193573
1847,"Grant, HOCHSTEIN",2017,4C,235.72,1.0,0.831685612167601,210.60333333333335,262.64223001202095,262.64223001202095,218.4357638486115,-17.284236151388512
1848,"Han, YAN",2017,4C,235.45,1.0,0.8754851059857395,224.91666666666666,262.64223001202095,262.64223001202095,229.93936057840511,-5.510639421594874
1849,"Brendan, KERRY",2017,4C,227.39,1.0,0.822835689733039,212.85,262.64223001202095,262.64223001202095,216.11140048496472,-11.278599515035268
1850,"Kevin, REYNOLDS",2017,4C,222.31,1.0,0.9120231905242308,233.685,262.64223001202095,262.64223001202095,239.53580458196222,17.225804581962223
1851,"Keiji, TANAKA",2017,4C,220.18,1.0,0.9057885059323908,231.17666666666665,262.64223001202095,262.64223001202095,237.8983131173398,17.71831311733979
1852,"Michael Christian, MARTINEZ",2017,4C,214.15,1.0,0.8153677342374813,214.15,262.64223001202095,262.64223001202095,214.14999999998093,-1.907096702780109e-11
1853,"Julian Zhi Jie, YEE",2017,4C,202.67,1.0,0.7716580840435054,202.67,262.64223001202095,262.64223001202095,202.66999999998976,-1.0231815394945443e-11
1854,"Sihyeong, LEE",2017,4C,195.72,1.0,0.7451962313564481,195.72,262.64223001202095,262.64223001202095,195.72000000001142,1.1425527191022411e-11
1855,"Jinseo, KIM",2017,4C,195.05,1.0,0.7426452326081135,195.05,262.64223001202095,262.64223001202095,195.04999999999094,-9.066525308298878e-12
1856,"June Hyoung, LEE",2017,4C,187.58,1.0,0.7142035002954512,187.58,262.64223001202095,262.64223001202095,187.57999999998836,-1.1652900866465643e-11
1857,"Chih-I, TSAO",2017,4C,169.63,1.0,0.6458595786070654,169.63,262.64223001202095,262.64223001202095,169.6299999999838,-1.6200374375330284e-11
1858,"Andrew, DODDS",2017,4C,162.05,1.0,0.6169990256043718,162.05,262.64223001202095,262.64223001202095,162.04999999997622,-2.3788970793248154e-11
1859,"Mark, WEBSTER",2017,4C,160.03,1.0,0.6093079547514967,160.03,262.64223001202095,262.64223001202095,160.02999999999665,-3.353761712787673e-12
1860,"Leslie, IP",2017,4C,146.74,1.0,0.5587068004763462,146.74,262.64223001202095,262.64223001202095,146.7399999999888,-1.1198153515579179e-11
1861,"Kai Xiang, CHEW",2017,4C,138.46,1.0,0.5271810249008891,138.46,262.64223001202095,262.64223001202095,138.45999999999228,-7.73070496506989e-12
1862,"Micah, TANG",2017,4C,135.79,1.0,0.5170151045160621,135.79,262.64223001202095,262.64223001202095,135.78999999999664,-3.353761712787673e-12
